,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,TB,RC
101,Josh Reddick,11,141,501,57,138,19,3,14,56,36,66,5,2,.275,241,78.08938547486034
 ,Dee Gordon,9,117,393,36,108,12,6,3,34,18,61,22,5,.275,162,49.66423357664234
 ,J.T. Realmuto,6,145,538,92,148,36,3,25,83,41,123,9,1,.275,329,107.39378238341969
 ,Raimel Tapia,4,138,426,54,117,23,5,9,44,21,100,9,3,.275,214,66.06711409395973
 ,David Peralta,6,99,382,48,105,29,3,12,57,35,87,0,0,.275,220,73.86091127098321
106,Jonathan Villar,7,162,642,111,176,33,5,24,73,61,176,40,9,.274,353,119.00568990042674
107,Tommy Pham,6,145,567,77,155,33,2,21,68,81,123,25,4,.273,311,113.26543209876543
 ,Mark Canha,5,126,410,80,112,16,3,26,58,67,107,3,2,.273,257,96.44234800838575
 ,James McCann,6,118,439,62,120,26,1,18,60,30,137,4,1,.273,247,78.99786780383795
 ,Jon Berti,2,73,256,52,70,14,1,6,24,24,73,17,3,.273,125,41.964285714285715
 ,Tom Murphy,5,75,260,32,71,12,1,18,40,19,87,2,0,.273,170,54.83870967741935
 ,Mitch Garver,3,93,311,70,85,16,1,31,67,41,87,0,0,.273,244,87.3409090909091
113,Ehire Adrianza,7,83,202,34,55,8,3,5,22,20,40,0,2,.272,100,33.78378378378378
 ,Willson Contreras,4,105,360,57,98,18,2,24,64,38,102,1,2,.272,236,80.64321608040201
 ,Corey Seager,5,134,489,82,133,44,1,19,87,44,98,1,0,.272,300,99.62476547842401
 ,Aaron Judge,4,102,378,75,103,18,1,27,55,64,141,3,2,.272,250,94.45701357466064
 ,Mike Yastrzemski,1,107,371,64,101,22,3,21,55,32,107,2,4,.272,238,78.54590570719603
 ,Vladimir Guerrero Jr.,1,123,464,52,126,26,2,15,69,46,91,0,1,.272,244,82.29019607843138
119,Eugenio Suarez,6,159,575,87,156,22,2,49,103,70,189,3,2,.271,402,140.85581395348837
 ,Phillip Ervin,3,94,236,30,64,11,7,7,23,18,63,4,3,.271,135,43.58267716535433
 ,Aledmys Diaz,4,69,210,36,57,12,1,9,40,26,28,2,0,.271,120,42.20338983050848
122,Yadier Molina,16,113,419,45,113,24,0,10,57,23,58,6,0,.270,201,61.84615384615385
 ,Starlin Castro,10,162,636,68,172,31,4,22,86,28,111,2,2,.270,334,100.60240963855422
 ,Jordy Mercer,8,74,256,24,69,16,0,9,22,13,57,0,0,.270,137,41.762081784386616
 ,Brandon Lowe,2,82,296,42,80,17,2,17,51,25,113,5,0,.270,188,61.495327102803735
126,Eduardo Escobar,9,158,636,94,171,29,10,35,118,50,130,5,1,.269,399,128.5408163265306
 ,Jose Martinez,4,128,334,45,90,13,2,10,42,35,82,3,0,.269,162,54.8780487804878
 ,Jesse Winker,3,113,338,51,91,17,2,16,38,38,60,0,2,.269,195,66.90159574468085
 ,Austin Nola,1,79,238,37,64,12,1,10,31,23,63,1,0,.269,131,43.666666666666664
 ,Ildemaro Vargas,3,92,201,25,54,9,1,6,24,9,24,1,0,.269,99,29.7
 ,Oscar Mercado,1,115,438,70,118,25,3,15,54,28,84,15,4,.269,237,74.25321888412017
 ,Willie Calhoun,3,83,309,51,83,14,1,21,48,23,53,0,0,.269,198,63.21686746987952
133,Pablo Sandoval,12,108,272,42,73,23,0,14,41,18,67,1,0,.268,175,54.91379310344828
 ,Nomar Mazara,4,116,429,69,115,27,1,19,66,28,108,4,1,.268,248,77.60175054704595
135,Yasiel Puig,7,149,555,76,148,30,2,24,84,44,133,19,7,.267,310,99.36560934891486
 ,Matt Olson,4,127,483,73,129,26,0,36,91,51,138,0,0,.267,325,109.5505617977528
 ,Clint Frazier,3,69,225,31,60,14,0,12,38,16,70,1,2,.267,136,42.88796680497925
 ,Yandy Diaz,3,79,307,53,82,20,1,14,38,35,61,2,2,.267,181,61.921052631578945
 ,Eloy Jimenez,1,122,468,69,125,18,2,31,79,30,134,0,0,.267,291,90.57228915662651
140,Alex Gordon,13,150,556,77,148,31,1,13,76,51,100,5,3,.266,265,86.87808896210873
 ,A.J. Pollock,8,86,308,49,82,15,1,15,47,23,74,5,1,.266,175,55.51359516616314
 ,Victor Caratini,3,95,244,31,65,11,0,11,34,29,59,1,0,.266,131,45.10622710622711
 ,Andrew Benintendi,4,138,541,72,144,40,5,13,68,59,140,10,3,.266,291,98.455
 ,Adam Haseley,1,67,222,30,59,14,0,5,26,14,60,4,0,.266,107,33.097457627118644
145,Shin-Soo Choo,15,151,563,93,149,31,2,24,61,78,165,15,1,.265,313,110.84399375975039
 ,Eric Hosmer,9,160,619,72,164,29,2,22,99,40,163,0,3,.265,316,97.82094081942337
 ,Jorge Soler,6,162,589,95,156,33,1,48,117,73,178,3,1,.265,417,144.24924471299093
 ,Francisco Mejia,3,79,226,27,60,11,2,8,22,13,56,1,1,.265,120,36.65271966527197
 ,Matt Beaty,1,99,249,36,66,19,1,9,46,17,33,5,0,.265,143,44.6203007518797
150,Kurt Suzuki,13,85,280,37,74,11,0,17,63,20,36,0,1,.264,164,51.38666666666666
151,Marwin Gonzalez,8,114,425,52,112,19,0,15,55,31,98,1,0,.264,210,65.85526315789474
 ,Andrelton Simmons,8,103,398,47,105,19,0,7,40,24,37,10,2,.264,171,52.27251184834123
 ,Jose Osuna,3,95,261,41,69,20,0,10,36,18,48,0,0,.264,149,46.46236559139785
154,Stephen Vogt,7,99,255,30,67,24,2,10,40,20,66,3,1,.263,161,50.93454545454546
 ,Adalberto Mondesi,5,102,415,58,109,20,10,9,62,19,132,43,7,.263,215,63.41013824884793
 ,Luke Voit,3,118,429,72,113,21,1,21,62,71,142,0,0,.263,242,89.056
157,Jorge Alfaro,4,130,431,44,113,14,1,18,57,22,154,4,4,.262,216,64.37086092715232
 ,Tony Wolters,4,121,359,42,94,17,2,1,42,36,68,0,1,.262,138,45.41772151898734
 ,Brian Goodwin,4,136,413,65,108,29,3,17,47,38,129,7,3,.262,243,78.66518847006652
 ,Byron Buxton,5,87,271,48,71,30,4,10,46,19,68,14,3,.262,183,56.793103448275865
 ,Chris Taylor,6,124,366,52,96,29,4,12,52,37,115,8,0,.262,214,70.62531017369727
162,Joey Votto,13,144,525,79,137,32,1,15,47,76,123,5,0,.261,264,93.56405990016638
 ,Neil Walker,11,115,337,37,88,19,1,8,38,42,77,3,0,.261,161,55.224274406332455
 ,Ji-Man Choi,4,127,410,54,107,20,2,19,63,64,108,2,3,.261,229,82.61392405063292
 ,Brian Anderson,3,126,459,57,120,33,1,20,66,44,114,5,1,.261,269,87.70576540755467
 ,Anthony Santander,3,93,380,46,99,20,1,20,59,19,86,1,2,.261,222,65.65413533834587
167,Adam Jones,14,137,485,66,126,25,1,16,67,31,101,2,1,.260,243,73.93604651162791
 ,Asdrubal Cabrera,13,131,447,69,116,25,1,18,91,57,103,4,0,.260,241,82.72420634920636
 ,Lorenzo Cain,10,148,562,75,146,30,0,11,48,50,106,18,8,.260,250,80.06535947712419
 ,Freddy Galvis,8,147,557,67,145,28,1,23,70,28,145,4,2,.260,296,87.53504273504274
 ,Bryce Harper,8,157,573,98,149,36,1,35,114,99,178,15,3,.260,364,134.33333333333334
 ,Paul Goldschmidt,9,161,597,97,155,25,1,34,97,78,166,3,1,.260,344,118.7437037037037
 ,Pete Alonso,1,161,597,103,155,30,2,53,120,72,183,1,0,.260,433,146.9222720478326
174,Josh Donaldson,9,155,549,96,142,33,0,37,94,100,155,4,2,.259,356,132.74576271186442
 ,Christian Walker,5,152,529,86,137,26,1,29,73,67,155,8,1,.259,308,105.42281879194631
 ,Kevin Pillar,7,161,611,83,158,37,3,21,88,18,89,14,5,.259,325,90.93799682034977
 ,Aristides Aquino,2,56,205,31,53,8,0,19,47,16,60,7,0,.259,145,45.27149321266968
